audit_id,domain,capability,industry_standard_baseline,current_implementation,evidence_level,evidence_paths,status,priority,risk_if_omitted,effort,implementation_mode,recommended_decision,business_input_required,production_access_required,reusable_for_future_projects,notes
ORD-007,Ordering,Purchase-order reference,Customer PO number carried on the order,No customer PO field on orders (purchase_orders is supplier-side),E4,orders table columns; purchase_orders is a separate supplier table,MISSING — IMPLEMENT BEFORE HANDOFF,P1,moderate,XS,repository implementation,"Add a customer PO reference to the order and show it on the invoice. Standard for B2B wholesale, and customers commonly require it for their own accounts payable",yes,no,reusable now,—
ORD-008,Ordering,Order status lifecycle,Explicit statuses with controlled transitions,8 statuses with a DB CHECK and a shipped-order re-open guard,E1,"platform/server/db/migrations/0001_schema.sql:120,routes/admin.js:455-470",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,"No transition allowlist between statuses, but the shipped guard covers the damaging case"
ORD-009,Ordering,Cancellation and amendment,Customer or staff can cancel or amend before dispatch,Item removal endpoint and status change; no customer-initiated cancellation,E1,platform/server/api/src/routes/orders.js:529,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Add a customer-initiated cancellation before dispatch with a status guard,no,no,reusable after extraction,—
ORD-010,Ordering,Partial fulfilment,An order can ship in parts,Handled through the backorder split rather than partial shipments,E3,inferred from backorders conversion flow,COMPLETE,P3,low,—,no action,The backorder model is a legitimate and simpler treatment of partial fulfilment,no,no,reusable after extraction,—
BACK-001,Backorders,Detection,"Shortfall detected at checkout, not after",planSkuReservations computes shortages before the order is written,E1,"platform/server/api/src/inventory.js:93,test/backorder-state.test.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,"A strong, reusable implementation"
BACK-002,Backorders,Customer choice and split fulfilment,Customer decides whether to accept a backorder,approve and cancel endpoints; eligible flag; fully-backordered checkouts create no order row,E1,"platform/server/api/src/routes/orders.js:604,619,db/migrations/0006_backorder_context.sql",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
BACK-003,Backorders,Status transitions and conversion,Backorder becomes an order when stock arrives,open/approved/converted/cancelled with an admin convert endpoint,E1,"platform/server/db/migrations/0001_schema.sql:166,routes/admin.js:74",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
BACK-004,Backorders,Expected dates,Customer told when to expect fulfilment,No expected-date field on backorders or items,E4,backorders/backorder_items columns,MISSING — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,"Add an expected-availability date, settable by staff and shown to the customer. 'On backorder' with no date is the most common source of B2B chase-up contact",no,no,reusable after extraction,—
BACK-005,Backorders,Backorder notifications,Customer told on status change,"backorderConfirmation exists at creation; no notification on approve, convert or cancel",E1,platform/server/api/src/emails.js:273; no sendMail in orders.js:604/619,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,moderate,S,repository implementation,Send on every status transition using the existing email module,no,no,reusable after extraction,—
BACK-006,Backorders,Admin queue and reporting,Staff can see and work the backorder book,Admin backorders list and eligibility endpoint plus a screen,E1,"platform/server/api/src/routes/admin.js:410,680,js/pages_sales.js",COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
INV-001,Inventory,Quantities by variation and warehouse,Stock held per location,stock table keyed by variation and warehouse,E1,platform/server/db/migrations/0001_schema.sql:103,COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
INV-002,Inventory,Immutable movements ledger,Every stock change is an append-only signed row,"inventory_movements with delta, balance_after, reason, ref, actor; no foreign keys so it outlives churn",E1,"platform/server/api/src/inventory.js:171,migrate.js",COMPLETE,P1,low,—,no action,No change. This is one of the strongest components in the repository,no,no,reusable now,Deliberately FK-free so the ledger survives variation recreation by the Zoho sync
INV-003,Inventory,Reservations and releases,"Stock reserved at order, released on cancel",reserveTakes with a guarded UPDATE and a 409 shortage response,E1,"platform/server/api/src/inventory.js:138,test/sync-race.test.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,Race-tested
INV-004,Inventory,Receiving / transfers / adjustments,"Staff can receive, move and correct stock",Admin screens and CSV import paths,E1,"js/pages_catalog.js,platform/server/api/src/routes/admin.js",COMPLETE — RC VERIFICATION REQUIRED,P2,moderate,S,supervised real-data operation,Verify each path writes a ledger row,no,yes,reusable after extraction,—
INV-005,Inventory,Reconciliation,Compare platform stock against the source of truth,supplier_reconciliation and stock views,E1,platform/server/db/migrations/0002_views.sql:37-55,COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
INV-006,Inventory,Production board,Track items in production,Board exists; older analysis reported it was discarded on reload,E2,platform/docs/SOW-GAP-ANALYSIS.md §6.3; not re-verified at HEAD,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Re-verify persistence at HEAD and fix if the collection is still outside the synced set. A board that silently loses work is worse than no board,no,no,reusable after extraction,Documentation-only evidence; must be confirmed against code before acting
INV-007,Inventory,Dispatch / shipping status / tracking,Tracking number captured and shown,orders.tracking jsonb with a carrier allowlist (UPS/DHL/GLS),E1,"platform/server/db/migrations/0001_schema.sql:128,admin-data.js:275",COMPLETE,P2,moderate,—,no action,No carrier API integration; manual entry is acceptable at this scale,no,no,reusable after extraction,—
INV-008,Inventory,Shipment notification,Customer emailed when the order ships,Absent. No email on the shipped transition,E4,emails.js exports; no shipment template,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,S,repository implementation,Send a dispatch notification with the tracking number. This is the single most-expected email in B2B distribution and its absence generates avoidable support contact,no,no,reusable after extraction,—
RET-001,Returns,Customer request creation,Customer raises a return against an order,POST /user/returns with items and resolution,E1,platform/server/api/src/routes/orders.js:657,COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
RET-002,Returns,Staff approval / rejection workflow,"Staff review, approve or reject, with reasons","Only open/closed. No approve, no reject, no reason, no staff decision endpoint",E1,platform/server/db/migrations/0001_schema.sql:189,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Add an explicit return status machine (requested/approved/rejected/received/resolved/closed) with attribution, mirroring the enquiry handling model built in WS2 Phase 2",no,no,reusable after extraction,The enquiry transition model is a good template already in the repository
RET-003,Returns,Evidence / photo upload,Customer attaches photographs of the fault,Absent on returns (spare_parts has an image field),E4,return_items columns; account.js:393 shows the pattern for spare parts,MISSING — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Reuse the existing upload endpoint and attach media to the return,no,no,reusable after extraction,—
RET-004,Returns,Credit or exchange decision,Outcome recorded and actioned,"return_items.resolution in (credit, exchange); no link to a credit note or replacement order",E1,platform/server/db/migrations/0001_schema.sql:200,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,Link an approved credit resolution to a credit_notes row and an exchange to a replacement order,no,no,reusable after extraction,—
RET-005,Returns,Warranty module,Warranty claims distinct from commercial returns,"Absent. No warranty table, route or screen",E4,repository-wide search for warranty (only the public policy page name),MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,L,repository implementation,Decide whether warranty is a distinct workflow or a return reason. A distributor normally needs it distinct because the counterparty and cost owner differ,yes,no,reusable after extraction,Named as the biggest absent deliverable in platform/docs/SOW-GAP-ANALYSIS.md §4.11
RET-006,Returns,Spare parts,Customer requests replacement parts,"spare_parts request with model, part, notes, image",E1,"platform/server/api/src/routes/account.js:386-393,db/migrations/0001_schema.sql:420",COMPLETE,P3,low,—,no action,No change,no,no,reusable after extraction,—
RET-007,Returns,Customer communication on returns,Status changes are notified,Absent,E4,emails.js exports,MISSING — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Notify on each return status transition,no,no,reusable after extraction,—
CUS-001,Customer ops,Customer profiles,Full account record with terms and addresses,users plus addresses; extensive admin screen,E1,"platform/server/db/migrations/0001_schema.sql:25,403",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
CUS-002,Customer ops,Leads,Prospect records ahead of an account,leads table and screen,E1,platform/server/db/migrations/0001_schema.sql:298,COMPLETE,P3,low,—,no action,No change,no,no,reusable after extraction,Not linked to form_submissions (see BIZ-002)
CUS-003,Customer ops,Sales agents and account ownership,Agents own a book of accounts,users.agent_id and agent routes,E1,"platform/server/api/src/routes/agent.js,shape.js:21",COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
CUS-004,Customer ops,Territories,Geographic account ownership,Absent,E4,repository-wide search for territory,OPTIONAL — NOT STANDARD FOR CURRENT BUSINESS MODEL,P3,low,M,business decision,Not required at current scale; agent_id ownership is sufficient,yes,no,not applicable,—
CUS-005,Customer ops,Task ownership scoping,A user sees and edits only their own tasks,Older analysis reported no ownership scoping on task endpoints,E2,platform/docs/SOW-GAP-ANALYSIS.md §6.2 citing agent.js:119-125; not re-verified at HEAD,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,moderate,S,repository implementation,Re-verify at HEAD and scope task reads and writes to the owning user,no,no,reusable after extraction,Documentation-only evidence
CUS-006,Customer ops,Personal-data exposure in admin,Staff see only the personal data their role needs,The permissions screen deliberately shows only id/name/role/status; the general admin screens show everything,E1,platform/server/api/src/routes/account-permissions.js:65-72 vs routes/admin.js snapshot,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,Apply the same minimum-disclosure discipline to the general admin snapshot that the permissions endpoint already demonstrates,no,no,reusable after extraction,—
CUS-007,Customer ops,CRM boundary,Clear line between the platform and any external CRM,No CRM integration; crm_routing column exists on forms and is unused,E1,platform/server/db/migrations/0007_public_site.sql forms.crm_routing,REQUIRES BUSINESS INPUT,P2,moderate,M,business decision,Decide whether enquiries route to an external CRM. Until then the platform is the CRM and ENQ-006 is the delivery gap,yes,no,not applicable,—
ENQ-001,Enquiries,Three public forms with validation,"Closed field allowlist, length limits, type validation",Implemented as a closed allowlist with server-controlled field rejection,E1,platform/server/api/src/public-forms.js,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
ENQ-002,Enquiries,Consent capture and versioning,Consent recorded with the wording version agreed,"consent_version + consent_at, version 2026-08-enquiry-v1",E1,platform/server/api/src/routes/public-forms.js:98-104,COMPLETE — RC VERIFICATION REQUIRED,P1,moderate,XS,business decision,The wording itself needs privacy-owner approval (LEG-003),yes,no,reusable now,—
ENQ-003,Enquiries,Abuse protection,Rate limiting and bot detection,"Honeypot (indistinguishable response) plus an in-process, in-memory throttle",E1,platform/server/api/src/routes/public-forms.js:35-70,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,high,S,repository implementation,"Move rate limiting to the edge (Caddy) or to a shared store. The current throttle is per-container, cleared by restart, and keyed on an address an attacker varies — it is documented as a mitigation, not a control",no,no,reusable after extraction,Honestly documented as weak in the code itself
ENQ-004,Enquiries,Durable storage,A submission is never lost to a delivery failure,Stored first with delivery_state 'pending'; never delivered inline,E1,platform/server/api/src/routes/public-forms.js:84-102,COMPLETE,P1,low,—,no action,No change. Store-then-deliver is the correct ordering,no,no,reusable now,—
ENQ-005,Enquiries,Staff access and status handling,Least-privilege access with a handling workflow,"enquiries.view/manage capabilities, 5-state machine, no delete, optimistic concurrency, audited",E1,"platform/server/api/src/routes/admin-enquiries.js,enquiry-operations.js,js/pages_enquiries.js",COMPLETE,P1,low,—,no action,No change. Gated on AUTH-008,no,no,reusable now,—
ENQ-006,Enquiries,Onward delivery (email / CRM),Someone is told an enquiry arrived,"Absent. Every submission stays delivery_state 'pending'; no worker, no notification",E1,repository-wide: no writer of delivery_state beyond the initial insert,MISSING — IMPLEMENT BEFORE HANDOFF,P0,critical,M,repository implementation,"Send a notification to a configured operations address on submission, with retry and a failed state. Without it an enquiry is only seen if someone opens the Enquiries screen — a public form that silently swallows sales leads is the most commercially damaging gap in this audit",no,no,reusable after extraction,The Enquiries screen (WS2 Phase 2) removed the invisibility problem but not the no-notification problem
ENQ-007,Enquiries,Assignment,An enquiry has an owner,"handled_by records who last acted, not who owns it",E1,platform/server/db/migrations/0009_enquiry_operations.sql,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,Add an assignee when volume justifies it,no,no,reusable after extraction,—
ENQ-008,Enquiries,Retention and deletion,Personal data removed at the end of its retention period,Retention metadata derived and displayed; nothing deletes,E1,platform/server/api/src/enquiry-operations.js retentionMetadata; no deletion job,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Implement a supervised retention job that anonymises or deletes expired submissions, with a dry-run mode and an audit record. Stating a retention period and not honouring it is worse than not stating one",yes,no,reusable after extraction,See LEG-004
CMS-001,Content governance,Draft / verify / approve / publish lifecycle,Content moves through reviewed states,Full lifecycle with publication_state and verification_status,E1,"platform/server/db/migrations/0007_public_site.sql,publication-gate.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
CMS-002,Content governance,Publication gate,Publication is refused unless preconditions hold,"Pure gate evaluating slug uniqueness, media, parent state, variations",E1,"platform/server/api/src/publication-gate.js,test/publication-gate.test.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
CMS-003,Content governance,Publication boundary guard,Publication state cannot be changed by an ordinary edit,PATCH cannot cross into or out of published; only the governed endpoints can,E1,platform/server/api/src/routes/admin-public-content.js:276,COMPLETE,P0,low,—,no action,No change,no,no,reusable now,Closed a real bypass defect found in B2.4B2A
CMS-004,Content governance,Approval history,"Who approved what, when, from what source",content_approvals append-only log,E1,platform/server/db/migrations/0007_public_site.sql:242,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
CMS-005,Content governance,Optimistic concurrency,Two editors cannot silently overwrite each other,Composite tokens on every governed mutation,E1,"admin-public-content.js,account-permissions.js,admin-enquiries.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
CMS-006,Content governance,Content pages and policy pages editing,Policy and editorial text is editable by staff,content_pages and policies tables exist; NO admin editor and no public endpoint serve them,E1,"db/migrations/0007_public_site.sql:133,173; no route in admin-public-content.js or public.js",MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Build the editor and the public read path, or accept that the six policy pages stay hard-coded Astro files. The tables exist and imply an editor that does not",no,no,reusable after extraction,Explains why PUB-009/010 are skeletons with nowhere for approved text to land
CMS-007,Content governance,Preview,See a draft as it will render before publishing,Absent,E4,targeted search of admin-public-content.js and the Astro routes,DEFERRED — ACCEPTABLE POST-HANDOFF,P2,moderate,M,repository implementation,"Add a signed preview URL. Valuable, not launch-critical",no,no,reusable after extraction,—
CMS-008,Content governance,Scheduling and bulk operations,Publish at a time; publish many at once,Absent (scheduled_review_at exists but nothing acts on it),E1,db/migrations/0007_public_site.sql scheduled_review_at,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,M,repository implementation,Not launch-critical,no,no,reusable after extraction,—
MED-001,Media,Upload,"Validated, size-limited uploads to a controlled path","multer, 15 MB limit, image mimetype filter, random suffix, folder allowlist",E1,platform/server/api/src/routes/admin.js:833-848,COMPLETE,P2,moderate,—,no action,"No change, but see MED-002",no,no,reusable after extraction,—
MED-002,Media,Upload content validation,"File type verified by content, not by the client's claim",mimetype filter only; no magic-byte check,E1,platform/server/api/src/routes/admin.js:848,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,"Verify the file signature, and serve uploads with a fixed Content-Type and Content-Disposition so a mislabelled file cannot be interpreted as markup",no,no,reusable now,—
MED-003,Media,Alt text,Every public image has meaningful alt text,media.alt column; enforced non-null by default; the a11y audit asserts every img has an alt attribute,E1,"db/migrations/0007_public_site.sql:50,web/test/accessibility-responsive.test.ts",COMPLETE,P1,low,—,no action,No change. Alt-text QUALITY still needs a human (ACC-006),no,no,reusable after extraction,—
MED-004,Media,Dimensions and responsive delivery,Width/height recorded to avoid layout shift; responsive sources,width and height columns; no srcset or derivative generation,E1,db/migrations/0007_public_site.sql:51-52,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,Generate responsive derivatives and emit srcset. A public catalogue serving full-size images on a phone is a real performance and cost problem,no,no,reusable after extraction,—
MED-005,Media,Media rights,"Rights holder and expiry tracked, and never published",rights_holder and rights_expiry columns; both on the forbidden-key list,E1,"db/migrations/0007_public_site.sql:54-55,public-forbidden-keys.js",COMPLETE,P2,low,—,no action,"No change, but nothing warns on an approaching expiry",no,no,reusable after extraction,—
MED-006,Media,Deletion / replacement / orphan handling,Removing a record does not leave orphaned files or broken pages,No orphan sweep; the publication gate requires media to exist at publish time only,E4,targeted search for orphan/cleanup in admin.js and catalogue-audit,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,Add a reporting-only orphan scan before any deletion job,no,no,reusable after extraction,—
MED-007,Media,Access control on uploads,Uploaded files are served without leaking anything private,"Served from /s3/* by Caddy as static files, no auth",E1,"platform/server/Caddyfile,Caddyfile.rc handle_path /s3/*",COMPLETE,P2,moderate,—,no action,Acceptable: only product imagery is stored there. Do not place customer documents in this volume without adding access control,no,no,reusable after extraction,—
SEO-001,SEO,Titles / descriptions / canonical,Route-specific metadata and a canonical URL,Implemented per route and tested,E1,"platform/server/web/test/metadata.test.ts,docs/.../05#3",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,—
SEO-002,SEO,robots.txt,Serves a correct policy from the real origin,Generated route driven by PUBLIC_SITE_ORIGIN,E1,"platform/server/web/src/pages/robots.txt.ts,test/indexing.test.ts",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,—
SEO-003,SEO,XML sitemap,"Complete, valid, generated from live records",Generated from /public/sitemap-data,E1,"platform/server/web/src/pages/sitemap.xml.ts,api public.js:447",COMPLETE — RC VERIFICATION REQUIRED,P1,moderate,—,supervised real-data operation,Verify contents once real records are published,no,yes,reusable after extraction,—
SEO-004,SEO,JSON-LD structured data,Valid structured data with no commercial facts,Built from validated public records; FORBIDDEN_JSONLD_KEYS asserted absent,E1,"platform/server/web/src/lib/structured-data.ts,test/seo-controls.test.ts",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,"offers, price, availability, aggregateRating, address and sameAs are all asserted absent"
SEO-005,SEO,Breadcrumbs,Visible and marked up,Implemented,E1,"platform/server/web/src/components/nav/,test/nav.test.ts",COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
SEO-006,SEO,Open Graph / Twitter metadata,Rich link previews,Not verified in this audit,E3,inferred from metadata.test.ts coverage; not directly confirmed,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,low,XS,repository implementation,Confirm and complete OG/Twitter tags including an image. Links to the site will be shared in trade contexts,no,no,reusable after extraction,Lower-confidence finding; verify before acting
SEO-007,SEO,Pagination and filter indexing policy,Filtered and paged views must not create duplicate content,Indexing policy implemented and tested,E1,platform/server/web/test/indexing.test.ts,COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
SEO-008,SEO,Error-page indexing,404 and 500 return the right status and are not indexed,Astro owns the catch-all so 404 is a true 404,E1,"platform/server/web/test/error-pages.test.ts,http-routes.test.ts",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,—
LEG-001,Legal,Privacy policy,"Binding, accurate privacy text",SKELETON,E1,platform/server/web/src/pages/privacy-policy/index.astro,REQUIRES LEGAL OR PRIVACY APPROVAL,P0,critical,S,business decision,Must be supplied and approved by the business's legal adviser. This is not legal advice; engineering must not draft binding text,yes,no,not applicable,Three public forms collect personal data today
LEG-002,Legal,Terms,Binding commercial terms,SKELETON,E1,platform/server/web/src/pages/terms/index.astro,REQUIRES LEGAL OR PRIVACY APPROVAL,P0,high,S,business decision,As above,yes,no,not applicable,—
LEG-003,Legal,Consent wording,The exact wording a submitter agrees to is reviewed,Version 2026-08-enquiry-v1 exists in code and has not been reviewed by a privacy owner,E1,platform/server/api/src/routes/public-forms.js:104,REQUIRES LEGAL OR PRIVACY APPROVAL,P0,high,XS,business decision,Have the wording reviewed before any real submission is taken,yes,no,not applicable,Versioning is correctly implemented so a later change does not reinterpret consent already given
LEG-004,Legal,Enquiry retention period,"A stated period, honoured",365-day default in code; forms table unseeded; no deletion (ENQ-008),E1,"enquiry-operations.js DEFAULT_RETENTION_DAYS,forms.retention_days",REQUIRES LEGAL OR PRIVACY APPROVAL,P1,high,XS,business decision,Confirm the period; then implement ENQ-008 to honour it,yes,no,not applicable,—
LEG-005,Legal,Cookie behaviour and banner,"Disclosure and, where required, consent for non-essential cookies",Public site sets no cookies and loads no third-party scripts; the portal sets only essential auth cookies,E1,"web/src (no analytics),authmw.js COOKIE_OPTS",COMPLETE,P2,low,—,no action,No banner is required while there are no non-essential cookies. Revisit the moment analytics is added,yes,no,reusable now,A genuine privacy-by-design strength worth preserving
LEG-006,Legal,Data subject deletion / anonymisation,A person can have their data removed,"Absent for users, enquiries and audit records",E4,repository-wide search for anonymise/erase/gdpr,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Provide a supervised, audited anonymisation path for a customer and for an enquirer. Deletion must not break order history — anonymise in place",yes,no,reusable after extraction,—
LEG-007,Legal,Audit log retention,Audit records kept for a defined period,audit_log grows without bound; no retention policy,E1,db/migrations/0001_schema.sql:350,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,documentation/runbook,State a retention period; do not delete audit records without a decision,yes,no,reusable after extraction,—
LEG-008,Legal,Cross-border considerations,Where data is processed and stored is documented,Single VPS; no documented position,E2,platform/docs/RUNBOOK.md,REQUIRES BUSINESS INPUT,P2,moderate,XS,documentation/runbook,Record the hosting location and processing position for the privacy policy,yes,no,not applicable,—
ACC-001,Accessibility,Automated audit at 375/768/1280,Automated checks across viewports,"30 page/viewport audits, 17 rules, in a real browser",E1,platform/server/web/test/accessibility-responsive.test.ts,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,No dependency was added
ACC-002,Accessibility,Tap target size,24x24 CSS px minimum (WCAG 2.2 AA 2.5.8),"20 occurrences under size, all in the footer",E1,"docs/.../29#5.1,web/test/accessibility-responsive.test.ts KNOWN",REQUIRES BUSINESS INPUT,P1,moderate,XS,business decision,"Add vertical padding to the footer navigation. It moves the footer's rhythm on every page, so it is a visual-system decision (R-07)",yes,no,not applicable,Pinned so any new occurrence fails
ACC-003,Accessibility,Text contrast,"4.5:1, or 3:1 for large text (WCAG 1.4.3)",183 occurrences at 4.06:1 and 2.65:1 from one 42%-alpha token,E1,docs/.../29#5.2,REQUIRES BUSINESS INPUT,P1,high,XS,business decision,"Raise the alpha token from 0.42 to about 0.52 — one token, clears it everywhere, no layout change. The 2.65:1 case is the development placeholder, which should not ship at all",yes,no,not applicable,Measured with proper alpha compositing
ACC-004,Accessibility,Micro-label font size,No WCAG minimum; a readability judgement,363 occurrences between 10px and 12px,E1,docs/.../29#5.3,REQUIRES BUSINESS INPUT,P2,moderate,XS,business decision,Decide together with ACC-003 since the same elements are affected,yes,no,not applicable,Not a conformance failure
ACC-005,Accessibility,Structure / landmarks / headings / labels / skip link,Correct document structure and labelling,Clean at all three widths on all ten routes,E1,web/test/accessibility-responsive.test.ts,COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,Every field on all three enquiry forms is labelled
ACC-006,Accessibility,Manual verification,"Screen reader, keyboard walkthrough, focus visibility, alt-text quality, real devices, zoom and reflow",Not done. Automated checking covers roughly a third of WCAG issues,E1,docs/.../29#7,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,supervised real-data operation,A supervised manual pass is a release requirement. Focus visibility in particular is not checked at all,no,no,not applicable,—
ACC-007,Accessibility,Admin panel pinch-zoom disabled,Users can zoom (WCAG 1.4.4),index.html carries maximum-scale=1.0,E1,index.html meta viewport,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,XS,repository implementation,Remove maximum-scale. One attribute. Pre-existing and outside the public-site audit's scope,no,no,reusable now,—
ACC-008,Accessibility,Reduced motion,Respect prefers-reduced-motion,Not checked and not verified,E4,targeted search of web/src/styles for prefers-reduced-motion,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,XS,repository implementation,Add the media query where animation exists,no,no,reusable after extraction,—
ACC-009,Accessibility,Cross-browser coverage,"Chrome, Firefox and Safari",Chrome headless only,E1,web/test/helpers/headless-chrome.ts,MISSING — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,supervised real-data operation,"A manual Safari pass at minimum; Safari differs on flexbox gaps, dynamic viewport units and form control sizing",no,no,not applicable,—
SEC-001,Security,Authorisation model,Least privilege with separation of duties,Capability model on the governed surfaces; roles elsewhere; capability routers mounted before the general admin router,E1,"api/src/index.js,permissions.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
SEC-002,Security,Warehouse role write scope,A fulfilment login cannot change commercial data,"warehouse reaches /admin and can write 17 of 18 collections through the generic sync — including promotions, invoices, payments, shippingRules and settings. Only users is blocked",E1,"routes/admin.js:33,765,shape.js SIMPLE_COLLECTIONS",COMPLETE,P2,low,M,repository implementation,"Restrict the sync collection set by role, or extend the capability model to commercial data. The users escalation named in the older analysis IS fixed; the wider write scope is not",no,no,reusable after extraction,"CLOSED 2026-08-06 (Phase 3). The generic sync refuses every non-admin before the transaction opens; warehouse work moved to narrow /admin/inventory routes that cannot touch a price. See 34 §6. Follow-up CLOSED 2026-08-07: the admin panel now derives permitted actions from GET /admin/access, and the two legitimate stock workflows use the narrow routes. See 34 §11"
SEC-003,Security,Public / private serializer boundary,Nothing commercial can reach a public surface,"Pure allowlist serializers, a central forbidden-key authority, and a second validation layer in the website",E1,"public-serialize.js,public-forbidden-keys.js,web/src/lib/public-types.ts",COMPLETE,P0,low,—,no action,No change,no,no,reusable now,Four surfaces covered; never against a real row (QA-006)
SEC-004,Security,R-01 link fallbacks,URLs are built from a deliberate configuration value,"Three modules fall back to https://veyora.design, which becomes the PUBLIC site after the cutover",E1,"authmw.js setPasswordLink,emails.js,routes/catalog.js listUrl; reported by scripts/verify-release.mjs",COMPLETE,P3,low,S,repository implementation,Introduce an explicit PORTAL_URL for portal-bound links and fail closed if it is unset. Password-reset and shared-list links already in customers' inboxes would 404 after the cutover,no,no,reusable now,"CLOSED 2026-08-06 (Phase 1). All six link sites build from the explicit origin contract. The three release-gate R-01 exceptions were DELETED, not muted, and the scan now reports zero open release blockers. See 34 §5"
SEC-005,Security,SQL parameterisation,No user-controlled value or identifier reaches SQL as text,Every interpolation traced to a code constant; all values parameterised,E1,"admin.js:340/350/468/645/803,admin-public-content.js:343,shape.js,admin-data.js:419",COMPLETE,P0,low,—,no action,No change,no,no,reusable now,Verified site by site in the WS2 Phase 6 sweep
SEC-006,Security,CSRF,Cross-origin form posts are refused,"Astro checkOrigin with allowedDomains from PUBLIC_SITE_ORIGIN, verified through a proxy reproducing Caddy's headers",E1,"web/astro.config.mjs,web/test/enquiry-e2e.test.ts",COMPLETE — RC VERIFICATION REQUIRED,P0,high,—,supervised deployment,HTTPS smoke test through real Caddy is still required,no,yes,reusable now,A test asserts no header_up Host in either Caddyfile
SEC-007,Security,CSRF on the portal API,State-changing API calls are protected,Cookies are sameSite=lax; no CSRF token on JSON endpoints,E1,authmw.js:12,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,moderate,S,repository implementation,sameSite=lax blocks the cross-site form case. Add an Origin/Referer check on state-changing API routes as defence in depth,no,no,reusable now,—
SEC-008,Security,CORS,No cross-origin access is granted unless needed,No CORS header anywhere; same-origin through /api/*,E1,repository-wide search; Caddyfile.rc comment,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
SEC-009,Security,Security headers,"HSTS, nosniff, frame options, referrer policy",Present in both the live Caddyfile and Caddyfile.rc,E1,"platform/server/Caddyfile:10-13,Caddyfile.rc",COMPLETE,P1,low,—,no action,Consider adding a Content-Security-Policy; none is set today,no,no,reusable now,—
