requirement_id,source_section,source_locator,source_summary,requirement_type,priority,current_status,proposed_implementation,target_component_or_service,data_or_content_dependency,placeholder_policy,production_blocker,acceptance_or_test_method,delivery_batch,notes
REQ-GC-008,7.2 Footer,Section 7.2; list item 3,Footer column 3 carries B2B Portal; Request B2B Account; ordering guide; shipping; warranty/exchanges and resources,SOURCE_REQUIREMENT,P0,MISSING,Navigation config,Footer,Policy routes exist,NONE,NO,Snapshot test,B1,
REQ-GC-009,7.2 Footer,Section 7.2; list item 4,Footer column 4 carries approved sales email; phone/WhatsApp if applicable; business hours; regions and social profiles,SOURCE_REQUIREMENT,P0,MISSING,Organisation record; unapproved entries omitted,Footer,DECISION-10,OMIT_UNTIL_APPROVED,NO,Omitted entries leave no empty affordance,B1,Ruling 13 - optional social links may be omitted
REQ-GC-010,7.2 Footer,Section 7.2; list item 5,Legal row carries legal company name; dynamic copyright year; privacy; terms; accessibility and cookie preferences if applicable,SOURCE_REQUIREMENT,P0,PARTIAL,Extend the existing legal row,Footer,DECISION-10 and DECISION-18,BLOCKING_APPROVAL,YES,Legal name and privacy and terms links present,B1,Blocking - mandatory legal content
REQ-GC-011,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Hero',Hero carries a kicker; one H1; supporting copy; one primary CTA; an optional secondary CTA and meaningful media,SOURCE_REQUIREMENT,P0,PARTIAL,Generalise the editorial hero into a shared component,Hero component,Per-route copy and imagery,OMIT_UNTIL_APPROVED,NO,Component test asserting exactly one H1,B1,
REQ-GC-012,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Proof strip',Proof strip carries three to five verified facts qualifying time; geography and policy limitations,SOURCE_REQUIREMENT,P0,MISSING,Component requiring a policy link or qualification per fact; renders with fewer items if facts are pending,Proof strip component,Approved facts,OMIT_UNTIL_APPROVED,NO,No proof item renders without a qualification or policy link,B3,Ruling 13 - renders with fewer items rather than blocking
REQ-GC-013,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Benefit cards',Benefit cards carry a concise outcome-led heading and one supporting sentence at a semantic heading level,SOURCE_REQUIREMENT,P0,PARTIAL,Extend the value strip pattern,Benefit component,Copy,OMIT_UNTIL_APPROVED,NO,Heading-order test,B3,
REQ-GC-014,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Brand cards',Brand cards carry logo/image; brand name; segment; a unique summary and a crawlable View Brand link,SOURCE_REQUIREMENT,P0,MISSING,Editorial brand card with hairline separation,Brand card component,Brand records,OMIT_UNTIL_APPROVED,NO,No two brand summaries are identical,B4,
REQ-GC-015,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Model cards',Model cards carry product image; model/SKU; brand; key category and a crawlable View Details link,SOURCE_REQUIREMENT,P0,PARTIAL,Editorial model card without badges favourites or order controls,Model card component,Model records,NONE,NO,Crawl test that every card link resolves,B4,
REQ-GC-016,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'CTA band',CTA band carries one action-led statement with primary and secondary actions and avoids repetitive generic wording,SOURCE_REQUIREMENT,P0,PARTIAL,Generalise the closing CTA; per-route copy required,CTA band component,Copy,OMIT_UNTIL_APPROVED,NO,CTA copy is not duplicated across routes,B3,
REQ-GC-017,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Accordion',Accordion uses a button with aria-expanded and aria-controls; content remains present in HTML and keyboard accessible,SOURCE_REQUIREMENT,P0,MISSING,Progressive-enhancement accordion; content always in the DOM,Accordion component,Copy,NONE,YES,Axe check plus panel text present with JavaScript disabled,B3,Blocking - keyboard operability of a core journey
REQ-GC-018,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Filters',Filters use fieldset/legend or labelled controls with a selected-state summary; a clear-all action and shareable URL state,SOURCE_REQUIREMENT,P0,PARTIAL,Rebuild in editorial language with URL state,Filter component,Facet data,NONE,YES,Axe plus keyboard plus deep-link tests,B4,Blocking - keyboard operability of a core journey
REQ-GC-019,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Form',Form carries persistent labels; inline validation; an error summary; consent copy; a success state and CRM handoff,SOURCE_REQUIREMENT,P0,MISSING,Shared form component with server-side validation,Form component,Consent wording,BLOCKING_APPROVAL,YES,Axe plus end-to-end submission tests,B6,
REQ-GC-020,7.3 Reusable modules,Section 7.3; table 'Reusable modules'; row 'Portal preview',Portal preview is a public visual demonstration only with no fabricated real-time numbers presented as live data,SOURCE_REQUIREMENT,P0,MISSING,Static labelled demo imagery,Portal preview component,Approved screenshots,OMIT_UNTIL_APPROVED,NO,All figures labelled demo data; module omitted if imagery is pending,B3,
REQ-GC-021,7.4 Image and art direction,Section 7.4; list item 1,Preserve premium photographic and graphic art direction and replace every placeholder with an approved asset,SOURCE_REQUIREMENT,P0,PARTIAL,Reuse approved photography; omit a module rather than ship a placeholder image,Media pipeline,Approved assets,OMIT_UNTIL_APPROVED,NO,No placeholder image renders,B3,
REQ-GC-022,7.4 Image and art direction,Section 7.4; list item 2,Every meaningful image requires concise contextual alt text; decorative images use empty alt; never repeat keywords mechanically,SOURCE_REQUIREMENT,P0,PARTIAL,Alt text as a required field on media records,Media pipeline,Alt text,NONE,YES,No meaningful image lacks alt text,B3,Blocking - accessibility failure on core content
REQ-GC-023,7.4 Image and art direction,Section 7.4; list item 3,Use descriptive filenames; responsive srcset/sizes; explicit width and height; AVIF/WebP with fallback and CDN caching,SOURCE_REQUIREMENT,P0,PARTIAL,Build-time responsive derivatives plus long-lived cache headers,Media pipeline,Source assets,NONE,NO,Every content image emits srcset sizes width and height,B7,CDN is configurable and not blocking
REQ-GC-024,7.4 Image and art direction,Section 7.4; list item 4,Prioritise the hero image when it is the LCP element and lazy-load below-fold media without requiring interaction,SOURCE_REQUIREMENT,P0,PARTIAL,Apply the existing homepage discipline to every template,Media pipeline,None,NONE,NO,LCP element check per route,B7,
REQ-GC-025,7.4 Image and art direction,Section 7.4; list item 5,Product imagery uses a consistent front or three-quarter view plus colour/angle detail; each variant image maps to the correct SKU/colour code,SOURCE_REQUIREMENT,P0,PARTIAL,Variant media mapping with an explicit colour code,Model entity,Photography audit,OMIT_UNTIL_APPROVED,NO,Every published variant has a mapped image or is not published,B2,
REQ-HOME-001,8.1 Homepage module order,Section 8.1; list item 1,Hero with the specified H1; a short entity-defining paragraph; Request B2B Account and Contact Sales CTAs and an approved campaign visual,SOURCE_REQUIREMENT,P0,PARTIAL,Extend the editorial hero with the specified copy and both CTAs,Home template,Approved H1 copy,OMIT_UNTIL_APPROVED,NO,Route test asserts the H1 and both CTA destinations,B3,
REQ-HOME-002,8.1 Homepage module order,Section 8.1; list item 2,Proof strip with brand count; active markets; shipping promise; B2B platform and warranty; every claim carrying scope or a policy link,SOURCE_REQUIREMENT,P0,MISSING,Proof strip renders only the facts that are approved and qualified,Home template,Approved facts,OMIT_UNTIL_APPROVED,NO,No unqualified claim renders,B3,Ruling 13 - unapproved items omitted rather than placeheld
REQ-HOME-003,8.1 Homepage module order,Section 8.1; list item 3,Why Veyora block with four benefits covering curated portfolio; replenishment; lower inventory risk and digital B2B control,SOURCE_REQUIREMENT,P0,MISSING,Benefit module,Home template,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-HOME-004,8.1 Homepage module order,Section 8.1; list item 4,Brand portfolio showing all approved brands with distinct segment labels and crawlable links to brand pages,SOURCE_REQUIREMENT,P0,MISSING,Brand card grid from published records,Home template,Brand records,CONFIGURABLE,NO,Every published brand is linked within two clicks of root,B4,
REQ-HOME-005,8.1 Homepage module order,Section 8.1; list item 5,Commercial architecture covering opening price; core commercial; fashion/segment play and premium Italy followed by service proof points,SOURCE_REQUIREMENT,P1,MISSING,Segment module using approved public tier labels only,Home template,Approved tier labels,OMIT_UNTIL_APPROVED,NO,No internal wholesale figure appears,B3,
REQ-HOME-006,8.1 Homepage module order,Section 8.1; list item 6,B2B portal preview covering inventory visibility; ordering; tracking; promotions/resources; documents/reporting and user management,SOURCE_REQUIREMENT,P1,MISSING,Portal preview component with labelled demo imagery,Home template,Approved screenshots,OMIT_UNTIL_APPROVED,NO,No confidential data appears; module omitted if imagery is pending,B3,
REQ-HOME-007,8.1 Homepage module order,Section 8.1; list item 7,Closing CTA and complete global footer,SOURCE_REQUIREMENT,P0,PARTIAL,Extend both,Home template,Footer content,NONE,NO,Snapshot test,B3,
REQ-HOME-008,8.2 Homepage enhancements,Section 8.2; list item 1,Place a plain-language 40-80 word What Veyora does answer within the first two content blocks,SOURCE_REQUIREMENT,P1,MISSING,Answer-first block after the hero,Home template,Approved definition,OMIT_UNTIL_APPROVED,NO,Word-count assertion 40-80,B3,Source labels this an enhancement
REQ-HOME-009,8.2 Homepage enhancements,Section 8.2; list item 2,Add a credibility strip only after facts are approved; avoid unverified customer counts or superlatives,SOURCE_REQUIREMENT,P1,MISSING,Module present but unpublished until approved,Home template,Approved facts,OMIT_UNTIL_APPROVED,NO,No unverified count or superlative renders,B3,
REQ-HOME-010,8.2 Homepage enhancements,Section 8.2; list item 3,Brand cards must contain real copy rather than repeated generic labels and the homepage must link every core brand page within two clicks,SOURCE_REQUIREMENT,P0,MISSING,Uniqueness constraint on brand summaries,Home template,Brand copy,OMIT_UNTIL_APPROVED,NO,Duplicate-copy detection across brand cards,B4,
REQ-HOME-011,8.2 Homepage enhancements,Section 8.2; list item 4,Do not turn the homepage into a full catalogue; show a representative portfolio and lead users to Brands or Collections,SOURCE_REQUIREMENT,P1,MISSING,Cap the homepage brand and product counts,Home template,None,NONE,NO,Template review,B3,
REQ-HOME-012,8.2.1 Homepage search package,Section 8.2.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Home metadata package: canonical / with the specified title; meta description; H1 and primary intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata record seeded from the specification values,Metadata service,Approved copy,NONE,NO,Metadata test plus cross-route uniqueness,B3,Five table rows merged into one metadata package
REQ-HOME-013,8.2.1 Homepage search package,Section 8.2.1; table 'Search package'; row 'Schema',Home emits Organization + WebSite + WebPage; SearchAction only if a functional public site search exists,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Organisation record,BLOCKING_APPROVAL,NO,Schema validation plus DOM equality,B7,
REQ-HOME-014,8.2.2 Homepage acceptance,Section 8.2.2; list item 1,Primary value proposition and both acquisition CTAs are visible without relying on animation,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,No entrance animation is used,Home template,None,NONE,NO,Static HTML inspection,B9,
REQ-HOME-015,8.2.2 Homepage acceptance,Section 8.2.2; list item 2,All brand cards and the Brands CTA use crawlable links,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Anchors only,Home template,None,NONE,NO,Crawl test,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-HOME-016,8.2.2 Homepage acceptance,Section 8.2.2; list item 3,Every quantitative or service claim links to or is consistent with the relevant policy page,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Claim component requires a policy reference,Home template,Policy records,OMIT_UNTIL_APPROVED,NO,Build gate on unlinked claims,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-HOME-017,8.2.2 Homepage acceptance,Section 8.2.2; list item 4,Page contains one H1 and a logical H2/H3 hierarchy,SOURCE_ACCEPTANCE_CRITERION,P0,PARTIAL,Heading-order lint,Home template,None,NONE,NO,Automated heading-order test,B9,
REQ-HOME-018,8.2.2 Homepage acceptance,Section 8.2.2; list item 5,Core text and metadata are present in the initial HTML response,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Server rendering,Home template,None,NONE,NO,curl assertion,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-WHY-001,9.1 Why Veyora module order,Section 9.1; list item 1,Hero with international distribution positioning; supporting paragraph; both CTAs and an approved company visual,SOURCE_REQUIREMENT,P0,MISSING,Shared hero,Why Veyora template,Copy and imagery,OMIT_UNTIL_APPROVED,NO,Route test,B3,
REQ-WHY-002,9.1 Why Veyora module order,Section 9.1; list item 2,Mission and vision as concise approved statements avoiding generic language,SOURCE_REQUIREMENT,P1,MISSING,Content block; omitted until approved,Why Veyora template,Approved statements,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-WHY-003,9.1 Why Veyora module order,Section 9.1; list item 3,Footprint covering Italy; New York and Montreal service/support roles with a clear link to Global Presence,SOURCE_REQUIREMENT,P0,MISSING,Location summary sourced from location records with neutral wording,Why Veyora template,Location records,NEUTRAL_WORDING,NO,Link present; no function claimed without approval,B3,Rulings 5 and 6; note the source conflicts with section 16.1 which names Germany
REQ-WHY-004,9.1 Why Veyora module order,Section 9.1; list item 4,Verified facts covering brand count; retailer footprint where approved; hub count and shipping standard with scope,SOURCE_REQUIREMENT,P1,MISSING,Fact list rendering only approved values,Why Veyora template,Approved facts,OMIT_UNTIL_APPROVED,NO,No unapproved fact renders,B3,
REQ-WHY-005,9.1 Why Veyora module order,Section 9.1; list item 5,Who Veyora serves covering independent retailers; groups/chains; ecommerce retailers and adjacent channels,SOURCE_REQUIREMENT,P1,MISSING,Audience module,Why Veyora template,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-WHY-006,9.1 Why Veyora module order,Section 9.1; list item 6,Differentiators with complete crawlable accordion answers,SOURCE_REQUIREMENT,P0,MISSING,Accordion with content always in the DOM,Why Veyora template,Copy,OMIT_UNTIL_APPROVED,NO,Content present with JavaScript disabled,B3,
REQ-WHY-007,9.1 Why Veyora module order,Section 9.1; list item 7,Closing CTA to Request B2B Account and Contact Sales,SOURCE_REQUIREMENT,P0,MISSING,CTA band,Why Veyora template,None,NONE,NO,Snapshot test,B3,
REQ-WHY-008,9.2 Why Veyora enhancements,Section 9.2; list item 1,Add a company facts block covering legal name; year established if approved; headquarters; regions served; official contact and social profiles,SOURCE_REQUIREMENT,P1,MISSING,Organisation record rendering; unapproved entries omitted,Why Veyora template,DECISION-10,OMIT_UNTIL_APPROVED,NO,Omitted entries leave no empty affordance,B3,
REQ-WHY-009,9.2 Why Veyora enhancements,Section 9.2; list item 2,Add named leadership or functional-team information only if Veyora approves public biographies,SOURCE_REQUIREMENT,P2,MISSING,Optional module default off,Why Veyora template,Approval,OMIT_UNTIL_APPROVED,NO,Not published unless flagged,B5,
REQ-WHY-010,9.2 Why Veyora enhancements,Section 9.2; list item 3,Explain what each hub does; do not imply that every location is a warehouse if it is a sales; service or support office,SOURCE_REQUIREMENT,P0,MISSING,Location type is a required enumerated field before any function is claimed,Location entity,DECISION-12,NEUTRAL_WORDING,YES,No page claims a location function without an approved value,B3,Ruling 6 - blocking only where a page explicitly claims a function
REQ-WHY-011,9.2 Why Veyora enhancements,Section 9.2; list item 4,Link all geography claims to Global Presence and all service claims to Service Model or policy pages,SOURCE_REQUIREMENT,P0,MISSING,Claim components carry references,Why Veyora template,Policy records,NONE,NO,Link presence test,B3,
REQ-WHY-012,9.2.1 Why Veyora search package,Section 9.2.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Why Veyora metadata package: canonical /why-veyora/ with the specified title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata record,Metadata service,Copy,NONE,NO,Metadata test plus uniqueness,B3,Five table rows merged
REQ-WHY-013,9.2.1 Why Veyora search package,Section 9.2.1; table 'Search package'; row 'Schema',Why Veyora emits AboutPage + Organization + BreadcrumbList,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Organisation record,BLOCKING_APPROVAL,NO,Schema validation plus DOM equality,B7,
REQ-WHY-014,9.2.2 Why Veyora acceptance,Section 9.2.2; list item 1,Mission; vision; footprint and audience modules follow the wireframe hierarchy,SOURCE_ACCEPTANCE_CRITERION,P1,MISSING,Module order per the written list,Why Veyora template,None,NONE,NO,Template review,B9,
REQ-WHY-015,9.2.2 Why Veyora acceptance,Section 9.2.2; list item 2,Every location and numerical claim is approved and accurately labelled,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Publication gate,Why Veyora template,Approvals,OMIT_UNTIL_APPROVED,NO,No unapproved claim renders,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-WHY-016,9.2.2 Why Veyora acceptance,Section 9.2.2; list item 3,Accordion content is in the DOM and usable without a mouse,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Progressive enhancement,Accordion component,None,NONE,NO,Keyboard and JavaScript-disabled tests,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-WHY-017,9.2.2 Why Veyora acceptance,Section 9.2.2; list item 4,Global Presence has a crawlable link and is not a dead navigation item,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Real route,Navigation,None,NONE,NO,Crawl test,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-BRX-001,10.1 Brands index module order,Section 10.1; list item 1,Hero with a portfolio-architecture message; Explore Brands and Contact Sales actions and an approved portfolio visual,SOURCE_REQUIREMENT,P0,MISSING,Shared hero,Brands index,Copy and imagery,OMIT_UNTIL_APPROVED,NO,Route test,B4,
REQ-BRX-002,10.1 Brands index module order,Section 10.1; list item 2,Segment filters for All Brands; Value; Core Optical; Fashion; Kids; Performance and Premium Italy without hiding content from crawlers or creating uncontrolled indexable URLs,SOURCE_REQUIREMENT,P0,MISSING,Full list rendered server-side; filtered states are noindex,Brands index,Segment taxonomy,CONFIGURABLE,YES,Crawl sees all brands unfiltered; filtered states are noindex,B4,
REQ-BRX-003,10.1 Brands index module order,Section 10.1; list item 3,Brand grid with a unique card per approved brand carrying name; segment; one-sentence differentiation; image/logo and View Brand link,SOURCE_REQUIREMENT,P0,MISSING,Brand card grid,Brands index,Brand records,OMIT_UNTIL_APPROVED,NO,Uniqueness and crawl tests,B4,
REQ-BRX-004,10.1 Brands index module order,Section 10.1; list item 4,Portfolio architecture module explaining how each segment supports a retailer role,SOURCE_REQUIREMENT,P1,MISSING,Content block,Brands index,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B4,
REQ-BRX-005,10.1 Brands index module order,Section 10.1; list item 5,Comparison of brand; role; audience; verified style direction; approved price-tier label and best retail fit,SOURCE_REQUIREMENT,P1,MISSING,Accessible comparison table reflowing on mobile,Brands index,Approved tier labels,OMIT_UNTIL_APPROVED,NO,Responsive table test,B4,
REQ-BRX-006,10.1 Brands index module order,Section 10.1; list item 6,Closing CTA for assortment consultation and B2B application,SOURCE_REQUIREMENT,P0,MISSING,CTA band,Brands index,Copy,NONE,NO,Snapshot test,B4,
REQ-BRX-007,10.2 Brand-page decision,Section 10.2; callout table 'SEPARATE ESSEDUE AND KYME FOR SEARCH',Create separate indexable Essedue and Kyme pages with their own history; positioning; craftsmanship; models; imagery and metadata,SOURCE_REQUIREMENT,P1,MISSING,Supported by the brand entity; publication depends on the decision,Brand entity,DECISION-03,CONFIGURABLE,NO,Separate routes exist with unique content when published,B4,Ruling 8
REQ-BRX-008,10.3 Brands content rules,Section 10.3; list item 1,Replace placeholder tier notation with approved public labels; do not publish internal wholesale figures unless expressly approved,SOURCE_REQUIREMENT,P0,MISSING,Public tier label field distinct from any internal price,Brand entity,Approved labels,OMIT_UNTIL_APPROVED,YES,No numeric wholesale value appears in public HTML or schema,B2,Blocking - internal pricing exposure
REQ-BRX-009,10.3 Brands content rules,Section 10.3; list item 2,Do not use the same description for multiple brands; each page needs unique evidence,SOURCE_REQUIREMENT,P0,MISSING,Uniqueness constraint plus review,Brand entity,Brand copy,OMIT_UNTIL_APPROVED,NO,Duplicate-detection test,B4,
REQ-BRX-010,10.3 Brands content rules,Section 10.3; list item 3,If the public claim remains eight brands the displayed entities must equal eight; update the claim and every downstream reference if that changes,SOURCE_REQUIREMENT,P1,MISSING,Count derived from published records and never hard-coded,Brand entity,DECISION-03,CONFIGURABLE,NO,Automated consistency test across every surface,B4,Ruling 7
REQ-BRX-011,10.3 Brands content rules,Section 10.3; list item 4,Add Extreme Next only after its status is confirmed and only if it is bought as a distinct brand,SOURCE_REQUIREMENT,P2,MISSING,Publication flag default off,Brand entity,DECISION-04,CONFIGURABLE,NO,Record absent unless published,B4,Ruling 9
REQ-BRX-012,10.3.1 Brands search package,Section 10.3.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Brands index metadata package: canonical /brands/ with the specified title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata record,Metadata service,Copy,NONE,NO,Metadata test plus uniqueness,B4,Five table rows merged
REQ-BRX-013,10.3.1 Brands search package,Section 10.3.1; table 'Search package'; row 'Schema',Brands index emits CollectionPage + ItemList + BreadcrumbList,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Brand records,NONE,NO,Schema-to-DOM equality,B7,
REQ-BRX-014,10.3.2 Brands acceptance,Section 10.3.2; list item 1,Every approved brand has a distinct crawlable detail page,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Generated routes,Brands index,Brand records,CONFIGURABLE,YES,Crawl test,B9,
REQ-BRX-015,10.3.2 Brands acceptance,Section 10.3.2; list item 2,Filter controls work by keyboard and expose selected state to assistive technology,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Accessible filter component,Filter component,None,NONE,NO,Axe plus keyboard test,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-BRX-016,10.3.2 Brands acceptance,Section 10.3.2; list item 3,Brand comparison contains approved non-placeholder facts,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Unapproved rows omitted,Brands index,Approvals,OMIT_UNTIL_APPROVED,NO,No placeholder value renders,B9,
REQ-BRX-017,10.3.2 Brands acceptance,Section 10.3.2; list item 4,Brand count is consistent across homepage; company page; brands page and structured data,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Single derived value,Brand entity,DECISION-03,CONFIGURABLE,NO,Automated consistency test,B9,Ruling 7 makes this mechanical
REQ-BRD-001,11.1 Brand detail module order,Section 11.1; list item 1,Breadcrumbs Home > Brands > Brand name,SOURCE_REQUIREMENT,P0,MISSING,Breadcrumb component,Brand detail,None,NONE,NO,Breadcrumb equals URL equals schema,B4,
REQ-BRD-002,11.1 Brand detail module order,Section 11.1; list item 2,Hero with brand name; distinctive positioning statement; approved description; Contact Sales and Request B2B action and campaign image,SOURCE_REQUIREMENT,P0,MISSING,Shared hero,Brand detail,Brand copy and imagery,OMIT_UNTIL_APPROVED,NO,Route test,B4,
REQ-BRD-003,11.1 Brand detail module order,Section 11.1; list item 3,Brand facts covering segment; ideal retailer; optical/sun availability and approved price-tier label,SOURCE_REQUIREMENT,P0,MISSING,Fact list from the brand record,Brand detail,Approved labels,OMIT_UNTIL_APPROVED,NO,No unapproved fact renders,B4,
REQ-BRD-004,11.1 Brand detail module order,Section 11.1; list item 4,Brand story as a substantive unique explanation with a concise benefit list,SOURCE_REQUIREMENT,P0,MISSING,Long-form field,Brand detail,Brand copy,OMIT_UNTIL_APPROVED,NO,Uniqueness and length review,B4,
REQ-BRD-005,11.1 Brand detail module order,Section 11.1; list item 5,Featured collections or bestsellers as public model cards with crawlable links stating that pricing and ordering require an approved B2B account,SOURCE_REQUIREMENT,P0,MISSING,Model card grid plus B2B notice,Brand detail,Featured model selection,NONE,NO,Crawl test plus notice presence,B4,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-BRD-006,11.1 Brand detail module order,Section 11.1; list item 6,Best for: three specific retailer profiles or merchandising uses,SOURCE_REQUIREMENT,P1,MISSING,Content block,Brand detail,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B4,
REQ-BRD-007,11.1 Brand detail module order,Section 11.1; list item 7,Style traits as approved descriptive attributes tied to visible products,SOURCE_REQUIREMENT,P1,MISSING,Structured trait list,Brand entity,Approved traits,OMIT_UNTIL_APPROVED,NO,Content review,B4,
REQ-BRD-008,11.1 Brand detail module order,Section 11.1; list item 8,Service benefits covering replenishment; exchanges; warranty and B2B ordering each linked to a full policy or service explanation,SOURCE_REQUIREMENT,P0,MISSING,Claim components with policy references,Brand detail,Policy records,OMIT_UNTIL_APPROVED,NO,Link presence test,B4,
REQ-BRD-009,11.1 Brand detail module order,Section 11.1; list item 9,Brand-specific CTA and full footer,SOURCE_REQUIREMENT,P0,MISSING,CTA band plus global footer,Brand detail,Copy,NONE,NO,Snapshot test,B4,
REQ-BRD-010,11.2 Brand copy and evidence rules,Section 11.2; list item 1,Create one content record per brand; do not clone one brand template and swap names,SOURCE_REQUIREMENT,P0,MISSING,Per-brand records with duplicate detection,Brand entity,Brand copy,OMIT_UNTIL_APPROVED,NO,Duplicate-detection test,B4,
REQ-BRD-011,11.2 Brand copy and evidence rules,Section 11.2; list item 2,Separate design origin; manufacturing country and component sourcing as distinct non-interchangeable claims,SOURCE_REQUIREMENT,P0,MISSING,Three separate fields each with its own verification status,Brand entity,DECISION-11,OMIT_UNTIL_APPROVED,YES,No origin claim renders without a source and approver,B2,Blocking - a conflated origin claim would be materially false
REQ-BRD-012,11.2 Brand copy and evidence rules,Section 11.2; list item 3,Make material claims at model level when the assortment varies; do not attribute one material to an entire brand unless every model supports it,SOURCE_REQUIREMENT,P0,MISSING,Material fields at model level; brand-level material requires an explicit all-models flag,Brand and model entities,Verified material data,OMIT_UNTIL_APPROVED,YES,No brand-level material claim without the all-models flag,B2,Blocking - a false material claim
REQ-BRD-013,11.2 Brand copy and evidence rules,Section 11.2; list item 4,Charlett background information may be used only after final content review and each statement must be confirmed before publication,SOURCE_REQUIREMENT,P0,MISSING,Held as an unpublished draft with source references,Brand entity,DECISION-11,OMIT_UNTIL_APPROVED,NO,Not published without reviewer sign-off,B4,
REQ-BRD-014,11.2 Brand copy and evidence rules,Section 11.2; list item 5,Essedue and Kyme use verified brand-specific craftsmanship; manufacturing and material information and must not be merged,SOURCE_REQUIREMENT,P1,MISSING,Separate records,Brand entity,DECISION-03 and verified data,OMIT_UNTIL_APPROVED,NO,Duplicate-detection plus review,B4,
REQ-BRD-015,11.2 Brand copy and evidence rules,Section 11.2; list item 6,Include a Last reviewed date and internal source/reference fields for technical and origin statements,SOURCE_REQUIREMENT,P0,MISSING,Governance fields on brand and model,Brand and model entities,None,NONE,NO,Publication blocked when governance fields are empty,B2,
REQ-BRD-016,11.2.1 Brand detail search package,Section 11.2.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Brand detail metadata package: canonical /brands/{brand-slug}/ with templated title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata template,Metadata service,Brand copy,OMIT_UNTIL_APPROVED,NO,Metadata test plus cross-brand uniqueness,B4,Five table rows merged
REQ-BRD-017,11.2.1 Brand detail search package,Section 11.2.1; table 'Search package'; row 'Schema',Brand detail emits WebPage + Brand as mainEntity + ItemList for featured models + BreadcrumbList,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Brand records,NONE,NO,Schema-to-DOM equality,B7,
REQ-BRD-018,11.2.2 Brand detail acceptance,Section 11.2.2; list item 1,Unique title; description; H1; body copy and imagery for every brand,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Uniqueness checks,Brand detail,Brand copy,OMIT_UNTIL_APPROVED,NO,Automated cross-brand uniqueness test,B9,
REQ-BRD-019,11.2.2 Brand detail acceptance,Section 11.2.2; list item 2,No unverified origin; material; price; warranty or shipping claims,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Verification-status gate,Brand entity,Approvals,OMIT_UNTIL_APPROVED,YES,No unverified claim renders,B9,Blocking - publication of a false claim
REQ-BRD-020,11.2.2 Brand detail acceptance,Section 11.2.2; list item 3,Every featured model links to one public model-detail URL,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Anchors to canonical model routes,Brand detail,Model publication,NONE,YES,Crawl test,B9,
